z,T,t,fs,x,rhob,p
4.166,1223.015485081,1222.5322195493,1.0000000153,1,1565.457133134,7052.175003844
4.1832323232,1223.091287682,1222.6086059167,1.0000000153,1,1565.457133134,7056.3537757615
4.2004646465,1223.1670156036,1222.6848998932,1.0000000153,1,1565.457133134,7060.5304825189
4.2176969697,1223.2426737138,1222.7611044329,1.0000000153,1,1565.457133134,7064.7051274038
4.2349292929,1223.3182674222,1222.8372228093,1.0000000153,1,1565.457133134,7068.8777137218
4.2521616162,1223.3938027426,1222.913258653,1.0000000153,1,1565.457133134,7073.0482447995
4.2693939394000004,1223.4692863632,1222.9892159925,1.0000000153,1,1565.457133134,7077.2167239878
4.2866262626000005,1223.5447257244,1223.0650993006,1.0000000153,1,1565.457133134,7081.3831546661
4.3038585859000005,1223.6201291061,1223.1409135457,1.0000000153,1,1565.457133134,7085.5475402457
4.3210909091,1223.6955057245,1223.2166642492,1.0000000153,1,1565.457133134,7089.7098841753
4.3383232323,1223.770865841,1223.2923575497,1.0000000153,1,1565.457133134,7093.8701899457
4.3555555556,1223.8462208826,1223.3680002742,1.0000000153,1,1565.457133134,7098.0284610959
4.3727878788,1223.9215835768,1223.4436000181,1.0000000153,1,1565.457133134,7102.1847012194
4.390020202,1223.9969681027,1223.5191652336,1.0000000153,1,1565.457133134,7106.3389139715
4.4072525253,1224.0723902579,1223.5947053294,1.0000000153,1,1565.457133134,7110.4911030772
4.4244848485,1224.1478676465,1223.6702307809,1.0000000153,1,1565.457133134,7114.6412723404
4.4417171717,1224.2234198877,1223.7457532542,1.0000000153,1,1565.457133134,7118.7894256538
4.4589494949,1224.299068849,1223.821285743,1.0000000153,1,1565.457133134,7122.93556701
4.4761818182,1224.374838906,1223.8968427231,1.0000000153,1,1565.457133134,7127.0797005138
4.4934141414,1224.4507572327,1223.972440323,1.0000000153,1,1565.457133134,7131.2218303964
4.5106464646,1224.5268541248,1224.0480965156,1.0000000153,1,1565.457133134,7135.3619610305
4.5278787879,1224.6031633609,1224.1238313312,1.0000000153,1,1565.457133134,7139.5000969476
4.5451111111,1224.6797226052,1224.1996670955,1.0000000153,1,1565.457133134,7143.6362428574
4.5623434343,1224.7565738566,1224.2756286951,1.0000000153,1,1565.457133134,7147.7704036686
4.5795757576,1224.8337639498,1224.3517438735,1.0000000153,1,1565.457133134,7151.9025845136
4.5968080808,1224.9113163294,1224.4280200875,1.0000000153,1,1565.457133134,7156.0345290739
4.614040404,1224.9890240471,1224.5042775848,1.0000000153,1,1565.457133134,7160.1817734184
4.6312727273,1225.0669068405,1224.5805227158,1.0000000153,1,1565.457133134,7164.3459465436
4.6485050505,1225.1450141849,1224.6567850955,1.0000000153,1,1565.457133134,7168.52715355
4.6657373737,1225.2234005489,1224.7330972866,1.0000000153,1,1565.457133134,7172.7255006962
4.682969697,1225.3021258868,1224.8094950898,1.0000000153,1,1565.457133134,7176.9410954408
4.7002020202,1225.3812561769,1224.8860178615,1.0000000153,1,1565.457133134,7181.1740464874
4.7174343434,1225.460864009,1224.9627088617,1.0000000153,1,1565.457133134,7185.4244638349
4.7346666667,1225.5410292279,1225.0396156331,1.0000000153,1,1565.457133134,7189.6924588308
4.7518989899,1225.6218396351,1225.1167904159,1.0000000153,1,1565.457133134,7193.9781442296
4.7691313131,1225.703391755,1225.1942906007,1.0000000153,1,1565.457133134,7198.2816342565
4.7863636364,1225.7857916714,1225.272179222,1.0000000153,1,1565.457133134,7202.6030446764
4.8035959596,1225.8691559401,1225.3505254973,1.0000000153,1,1565.457133134,7206.9424928692
4.8208282828,1225.953612583,1225.4294054145,1.0000000153,1,1565.457133134,7211.3000979122
4.8380606061,1226.0393021731,1225.5089023725,1.0000000153,1,1565.457133134,7215.6759806687
4.8552929293,1226.126379015,1225.5891078787,1.0000000153,1,1565.457133134,7220.0702638862
4.8725252525,1226.2150124314,1225.6701223085,1.0000000153,1,1565.457133134,7224.4830723024
4.8897575758,1226.3053881631,1225.7520557327,1.0000000153,1,1565.457133134,7228.9145327609
4.906989899,1226.3977098928,1225.8350288171,1.0000000153,1,1565.457133134,7233.3647743381
4.9242222222,1226.492200901,1225.9191738011,1.0000000153,1,1565.457133134,7237.8339284807
4.9414545455,1226.5891058681,1226.0046355618,1.0000000153,1,1565.457133134,7242.3221291567
4.9586868687,1226.6886928305,1226.0915727701,1.0000000153,1,1565.457133134,7246.8295130198
4.9759191919,1226.791255307,1226.1801591461,1.0000000153,1,1565.457133134,7251.3562195882
4.9931515152,1226.8971146058,1226.2705848233,1.0000000153,1,1565.457133134,7255.9023914413
5.0103838384,1227.0066223295,1226.3630578274,1.0000000153,1,1565.457133134,7260.4681744325
5.0276161616,1227.1201630908,1226.4578056816,1.0000000153,1,1565.457133134,7265.0537179233
5.0448484848,1227.2381574576,1226.5550771471,1.0000000153,1,1565.457133134,7269.659175037
5.0620808081,1227.3610651445,1226.6551441087,1.0000000153,1,1565.457133134,7274.2847029374
5.0793131313,1227.4893884693,1226.7583036182,1.0000000153,1,1565.457133134,7278.9304631309
5.0965454545,1227.6236760959,1226.8648801062,1.0000000153,1,1565.457133134,7283.596621798
5.1137777778,1227.7645270834,1226.9752277765,1.0000000153,1,1565.457133134,7288.2833501534
5.131010101,1227.9125952671,1227.0897331958,1.0000000153,1,1565.457133134,7292.9908248397
5.1482424242,1228.0685939932,1227.2088180939,1.0000000153,1,1565.457133134,7297.7192283559
5.1654747475,1228.233301236,1227.3329423898,1.0000000153,1,1565.457133134,7302.4687495253
5.1827070707,1228.4075651228,1227.46260746,1.0000000153,1,1565.457133134,7307.2395840049
5.1999393939,1228.5923098986,1227.5983596677,1.0000000153,1,1565.457133134,7312.031934841
5.2171717172,1228.7885423603,1227.7407941704,1.0000000153,1,1565.457133134,7316.8460130735
5.2344040404,1228.9973587934,1227.8905590261,1.0000000153,1,1565.457133134,7321.6820383953
5.2516363636,1229.2199524483,1228.0483596198,1.0000000153,1,1565.457133134,7326.5402398694
5.2688686869,1229.4576215903,1228.2149634314,1.0000000153,1,1565.457133134,7331.4208567096
5.2861010101,1229.7117781651,1228.3912051702,1.0000000153,1,1565.457133134,7336.3241391303
5.3033333333,1229.9839571188,1228.5779922985,1.0000000153,1,1565.457133134,7341.250349271
5.3205656566,1230.2758264173,1228.7763109728,1.0000000153,1,1565.457133134,7346.1997622008
5.3377979798,1230.5891978082,1228.9872324276,1.0000000153,1,1565.457133134,7351.1726670117
