z,T,t,fs,x,rhob,p
4.166,1222.4051887947,1222.3557587566,1,1,1564.5464766485,7047.4271649141
4.1832323232,1222.4832926,1222.4339376881,1,1,1564.5464766485,7051.6054763318
4.2004646465,1222.5612768531,1222.5119965432,1,1,1564.5464766485,7055.7817293575
4.2176969697,1222.6391423974,1222.5899361662,1,1,1564.5464766485,7059.9559247632
4.2349292929,1222.716890075,1222.6677573999,1,1,1564.5464766485,7064.1280633216
4.2521616162,1222.7945207263,1222.7454610857,1,1,1564.5464766485,7068.2981458061
4.2693939394000004,1222.8720351905,1222.8230480635,1,1,1564.5464766485,7072.4661729908
4.2866262626000005,1222.9494343052,1222.9005191718,1,1,1564.5464766485,7076.6321456508
4.3038585859000005,1223.0267189068,1222.9778752479,1,1,1564.5464766485,7080.7960645616
4.3210909091,1223.1038898302,1223.0551171273,1,1,1564.5464766485,7084.9579304994
4.3383232323,1223.1809479087,1223.1322456443,1,1,1564.5464766485,7089.1177442413
4.3555555556,1223.2578939746,1223.2092616319,1,1,1564.5464766485,7093.275506565
4.3727878788,1223.3347288584,1223.2861659215,1,1,1564.5464766485,7097.4312182487
4.390020202,1223.4114533897,1223.3629593434,1,1,1564.5464766485,7101.5848800716
4.4072525253,1223.4880683968,1223.4396427265,1,1,1564.5464766485,7105.7364928133
4.4244848485,1223.5645747077,1223.516216899,1,1,1564.5464766485,7109.8860572543
4.4417171717,1223.640973152,1223.5926826895,1,1,1564.5464766485,7114.0335741755
4.4589494949,1223.7172645667,1223.6690409303,1,1,1564.5464766485,7118.1790443589
4.4761818182,1223.7934498128,1223.7452924678,1,1,1564.5464766485,7122.3224685873
4.4934141414,1223.8695298254,1223.8214381914,1,1,1564.5464766485,7126.4638476449
4.5106464646,1223.9455057577,1223.8974791205,1,1,1564.5464766485,7130.6031823188
4.5278787879,1224.0213794048,1223.9734166558,1,1,1564.5464766485,7134.7404734014
4.5451111111,1224.0971544405,1224.0492533175,1,1,1564.5464766485,7138.8757216983
4.5623434343,1224.1728400293,1224.1249948983,1,1,1564.5464766485,7143.0089280459
4.5795757576,1224.2484613721,1224.2006567511,1,1,1564.5464766485,7147.1400933564
4.5968080808,1224.3239859326,1224.2762021055,1,1,1564.5464766485,7151.2740147308
4.614040404,1224.3993015408,1224.3515298779,1,1,1564.5464766485,7155.4201120161
4.6312727273,1224.4743478339,1224.4265877095,1,1,1564.5464766485,7159.5830582768
4.6485050505,1224.5491262947,1224.5013770843,1,1,1564.5464766485,7163.7629533814
4.6657373737,1224.623638394,1224.5758994741,1,1,1564.5464766485,7167.9598980343
4.682969697,1224.6978855905,1224.6501563389,1,1,1564.5464766485,7172.1739937846
4.7002020202,1224.7718693311,1224.7241491264,1,1,1564.5464766485,7176.4053430348
4.7174343434,1224.8455910506,1224.7978792729,1,1,1564.5464766485,7180.6540490505
4.7346666667,1224.9190521723,1224.8713482024,1,1,1564.5464766485,7184.9202159688
4.7518989899,1224.9922541075,1224.9445573274,1,1,1564.5464766485,7189.2039488081
4.7691313131,1225.0651982558,1225.0175080488,1,1,1564.5464766485,7193.5053534773
4.7863636364,1225.1378860051,1225.0902017555,1,1,1564.5464766485,7197.8245367855
4.8035959596,1225.2103187321,1225.1626398251,1,1,1564.5464766485,7202.1616064511
4.8208282828,1225.2824978013,1225.2348236235,1,1,1564.5464766485,7206.5166711126
4.8380606061,1225.3544245664,1225.3067545052,1,1,1564.5464766485,7210.8898403373
4.8552929293,1225.4261003692,1225.3784338132,1,1,1564.5464766485,7215.2812246322
4.8725252525,1225.4975265404,1225.4498628793,1,1,1564.5464766485,7219.6909354538
4.8897575758,1225.5687043992,1225.5210430238,1,1,1564.5464766485,7224.1190852186
4.906989899,1225.6396352536,1225.5919755557,1,1,1564.5464766485,7228.5657873133
4.9242222222,1225.7103204006,1225.6626617731,1,1,1564.5464766485,7233.0311561054
4.9414545455,1225.7807611258,1225.7331029627,1,1,1564.5464766485,7237.515306954
4.9586868687,1225.8509587039,1225.8033004001,1,1,1564.5464766485,7242.0183562208
4.9759191919,1225.9209143983,1225.87325535,1,1,1564.5464766485,7246.5404212809
4.9931515152,1225.9906294618,1225.9429690662,1,1,1564.5464766485,7251.0816205337
5.0103838384,1226.0601051359,1226.0124427912,1,1,1564.5464766485,7255.6420734148
5.0276161616,1226.1293426516,1226.0816777571,1,1,1564.5464766485,7260.2219004069
