status,elapsed_s,region,solver,initial_mesh,hc_outer_converged,hc_max_re_final,bvp_success,bvp_tol_final,bvp_n_nodes_final,bvp_max_rms_residual_final,bvp_bc_l2_residual_final,T_out,t_out,fs_out,x_out,y_out,w_out,rhob_out,p_bottom,equation_converged,abs_diff_T_out,rel_diff_T_out,abs_diff_t_out,rel_diff_t_out,abs_diff_fs_out,rel_diff_fs_out,abs_diff_x_out,rel_diff_x_out,abs_diff_y_out,rel_diff_y_out,abs_diff_w_out,rel_diff_w_out,abs_diff_rhob_out,rel_diff_rhob_out,abs_diff_p_bottom,rel_diff_p_bottom,abs_diff_outlet_max,rel_diff_outlet_max,solution_stable_vs_ref
success,162.7285540001467,up,bvp,50,,,True,0.001,220.0,0.0009545329262498107,,556.2445336055133,1222.580131766816,1.0000000000380527,0.2264792305815337,0.2675207694184663,0.3547193206218546,1565.457142832997,7255.249616209165,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
success,113.82676659990102,up,bvp,49,,,True,0.001,183.0,0.0009079940590797263,,556.2446722181255,1222.5800867815967,1.0000000001003844,0.22647883875103061,0.26752116124896935,0.3547197124298059,1565.4571427934445,7255.245697212211,True,0.00013861261220426968,2.4919366183393953e-07,4.49852193469269e-05,3.6795313597904083e-08,6.233169536074001e-11,6.233169535836813e-11,3.9183050309921086e-07,1.7300946408776756e-06,3.918305030436997e-07,1.4646732061045448e-06,3.918079513054451e-07,1.1045576841390282e-06,3.955256033805199e-08,2.52658212453354e-11,0.003918996953871101,5.401601820998075e-07,0.003918996953871101,1.7300946408776756e-06,True
success,159.94002999993972,up,bvp,48,,,True,0.001,258.0,0.0009832400079988592,,556.2445660112592,1222.5801289932417,1.0000000000666962,0.22647902271005038,0.2675209772899496,0.35471952848297467,1565.4571428148213,7255.245382510772,True,3.240574585561262e-05,5.8258093154753883e-08,2.7735743515222566e-06,2.2686237731624314e-09,2.8643531990724114e-11,2.864353198963415e-11,2.0787148333201166e-07,9.178390565804083e-07,2.078714833042561e-07,7.770293265682691e-07,2.0786112009396618e-07,5.859875907790056e-07,1.8175796867581084e-08,1.1610536226299028e-11,0.004233698392454244,5.835358693925037e-07,0.004233698392454244,9.178390565804083e-07,True
fail: 初始求解失败，请检查问题设置,135.4029331000056,up,bvp,47,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False
success,228.9507434000261,up,bvp,46,,,True,0.001,459.0,0.0008803205391412567,,556.2446184048179,1222.5801291795035,1.0000000000047737,0.22647899825175083,0.26752100174824917,0.35471955296367774,1565.4571428541135,7255.245157161969,True,8.479930454541318e-05,1.5244968610433582e-07,2.5873125650832662e-06,2.1162723799087115e-09,3.327893516313907e-11,3.327893516187271e-11,2.3232978288434403e-07,1.0258326217719293e-06,2.3232978285658845e-07,8.684551235465731e-07,2.3234182316977936e-07,6.550018836370781e-07,2.1116420612088405e-08,1.3488980333165916e-11,0.00445904719617829,6.145959728547729e-07,0.00445904719617829,1.0258326217719293e-06,True
success,151.98164919996634,up,bvp,45,,,True,0.001,325.0,0.0009800033278867832,,556.2444296739623,1222.580121842468,1.00000000009109,0.22647906108033386,0.26752093891966616,0.3547194901038652,1565.4571427993424,7255.244634648363,True,0.00010393155105248297,1.8684507401593786e-07,9.92434797808528e-06,8.117543971324866e-09,5.303735228778805e-11,5.303735228576984e-11,1.6950119985370549e-07,7.484182960992715e-07,1.6950119985370549e-07,6.336001508300283e-07,1.6948201064792556e-07,4.777918788038061e-07,3.365471457072999e-08,2.149833020010071e-11,0.004981560801752494,6.866146673469433e-07,0.004981560801752494,7.484182960992715e-07,True
success,93.74538099998608,up,bvp,44,,,True,0.001,187.0,0.0008758398786935035,,556.2446682682723,1222.5801303240964,1.000000000031761,0.226479127211925,0.26752087278807496,0.35471942399373946,1565.457142836989,7255.249390070226,True,0.00013466275902374036,2.4209273240111105e-07,1.442719621991273e-06,1.1800614000706207e-09,6.291633880550762e-12,6.291633880311348e-12,1.0336960870604983e-07,4.5641981580662526e-07,1.0336960865053868e-07,3.8639844254052643e-07,1.0337188488529492e-07,2.9141881728932834e-07,3.991999619756825e-09,2.55005359810268e-12,0.00022613893906964222,3.1169008791154285e-08,0.00022613893906964222,4.5641981580662526e-07,True
success,138.9578827000223,up,bvp,43,,,True,0.001,266.0,0.0009353863337555516,,556.2445323033529,1222.5801317037224,1.0000000000201485,0.22647910766758322,0.26752089233241677,0.3547194435422827,1565.4571428443578,7255.245070157429,True,1.3021603990637232e-06,2.3409855205646133e-09,6.309369382506702e-08,5.160700078929546e-11,1.790412262892005e-11,1.790412262823875e-11,1.2291395048991127e-07,5.427162136426527e-07,1.229139504621557e-07,4.594557302199178e-07,1.2292042811390402e-07,3.465287086658081e-07,1.136072569352109e-08,7.257129807438652e-12,0.0045460517358151264,6.265879158256195e-07,0.0045460517358151264,6.265879158256195e-07,True
fail: 初始求解失败，请检查问题设置,48.68817589990795,up,bvp,42,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False
fail: 初始求解失败，请检查问题设置,47.670951100066304,up,bvp,41,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False
